id,tag,name,birthday,mcnum,tlpd_id,tlpd_db,lp_name,sc2e_id,country,race,dom_val,dom_start_id,dom_end_id,current_rating_id,romanized_name
21622,나코나코땅땅,,,,,,,,KR,P,-1.77182661336041,25,26,7303345,
21609,Alexey,,,,,,,,UA,T,-1.97793249533652,25,26,7303326,
21610,Bush,,,,,,,,LT,P,-1.95682596924698,25,26,7303327,
21615,Chenne,,,,,,,,CA,P,-1.9695223919424,25,26,7303346,
21608,depulsor,,,,,,,,DE,Z,-1.92956314737239,25,26,7303328,
21612,Galimatias,,,,,,,,PL,R,-1.97144747175443,25,26,7303329,
7501,Harry,,,,,0,,,AU,P,-0.80146726933236,25,26,7286812,
11648,Healer,"",,,,,"",,RU,T,-1.32869624304006,141,142,7301575,""
863,Healingproof,Erik Anderssen,,,3966,2,,,SE,Z,-0.699418811514434,28,29,7291050,
9861,HealZ,,,,,,,,SG,Z,-1.55549795862112,40,41,7289713,
18474,Heat,,,,,,,,NO,P,-1.7272924436261,26,27,7297132,
17989,HEAT,,,,,,,,,P,-1.99196219387577,69,70,7283955,
19176,HeatedStove,,,,,,,,US,T,-1.98563148081952,52,53,7297401,
2824,Heathen,,,,3774,3,,,PH,Z,,25,26,7296035,
17462,Hemyst,,,,,,,,,T,-1.75202728144364,25,26,7290255,
21621,HetSaL,,,,,,,,KR,P,-1.74424694530522,25,26,7303347,
2766,hghx,,,,3755,3,,,SG,Z,,25,26,7290763,
21331,hhjo,,,,,,,,,R,-1.91795773264878,27,28,7284380,
7698,Highlander,,,,,,,,AU,P,-0.90513975200746,26,27,7298618,
10658,Hiky,,,,,,,,RU,P,-1.30461434774711,28,29,7296152,
14669,hitshot,,,,,,,,US,R,-1.58646765586587,27,28,7296440,
15689,Hitsugaya,,,,,,,,JO,Z,-1.85744901367255,48,49,7290914,
16883,Hiturunk,,,,,,,,US,T,-2.11421614866659,36,37,7295936,
10439,HiyoriMyhija,,,,,,,,,T,-1.2710114508393,28,29,7302414,
10462,Hiza,Hizael Lima Da Silva,,,,0,,,BR,T,-2.03897365476851,155,156,7293351,
164,White-Ra,Олексій Крупник,1980-11-15,1,1148,3,White-Ra,109,UA,P,-1.13639431857981,142,143,7286320,Aleksey Krupnyk
514,tgun,Bradley Seymour,,1,2835,3,tgun,75,AU,Z,-1.32256744665429,210,211,7286276,
686,SonKiE,Nikolaus Cassidy,,2,3462,2,,,US,T,-0.757360956216987,62,63,7290189,
9012,xKawaiian,Taylor Vinson,,2,,0,"",,US,T,-1.76197683380032,167,168,7292936,""
3225,Zukapin,Zachary Adams,,2,3141,2,,,US,P,-0.740929361557486,43,44,7293155,
621,Suggy,Ryan Hryczynski,,2,1650,2,,29,CA,P,-0.564390182893052,31,32,7287735,
2853,hlo,,,,2046,3,,,PL,Z,,25,26,7295699,
1961,Venus,박기웅,,2,,,"",,KR,P,-0.828686902472711,81,82,7292997,Park Ki Woong
1713,WonnaPlay,Alex Hordijk,,2,4602,3,"",,NL,P,-1.71437176072881,130,131,7290746,
2497,wubbles,Joseph Favuzzi,,2,,,"",,US,Z,-0.752124748171429,26,27,7293672,
9023,Xaoras,Filip Nadolski,,2,,0,"",,PL,Z,-1.87060897637393,143,144,7291269,""
2384,XiaoKai,张凯,,2,3799,3,XiaoKai,,CN,Z,-0.855532992421358,50,51,7293019,Zhang Kai
8985,Xor,,,2,,,,,BE,P,-1.37789637817436,80,81,7286887,
16368,Denar,,,,,,,,ES,P,-1.69466715089184,28,29,7295183,
9550,dFNCP,"",,,,,"",,NO,T,-0.893135080018724,27,28,7286553,""
12034,Dhan,,,,,,,,CL,Z,-1.36573344383154,26,27,7302089,
17457,Dhdhdhd,,,,,,,,,R,-1.77066633482765,29,30,7301813,
8500,Saiyan,,,3,,,,,US,Z,-1.45630159931868,59,60,7296931,
5237,ThuNdeR,Jorge Zambrano,,3,4288,3,"",,VE,P,-1.8277079070051,169,170,7297889,""
3228,Ecca,,,3,3137,2,,,US,T,-0.597180450751946,28,29,7302748,
6788,Ravenflames,Sam Khoo,1994-09-04,3,,0,"",,MY,P,-1.9741486144532,161,162,7295373,""
7869,Valheru,"",,3,,,"",,AU,P,-1.15571546023878,55,56,7300300,
6586,TheRealOne,,,3,,,,,,Z,-1.05373779857462,28,29,7293268,
16849,Vikage,,,3,,,,,FR,T,-1.81233959851528,26,27,7300421,
185,StarDust,손석희,1990-05-27,1,639,3,StarDust,546,KR,P,-0.688028101798382,35,36,7287314,Son Seok Hee
